customerID,tenure,MonthlyCharges,TotalCharges,churn,ChurnFlag,ServicesCount,IsNewCustomer,HasFiber,IsMonthToMonth,IsLongTermContract,IsElectronicCheck,AutoPayment,SeniorWithNoDependents,TechSupportOrSecurity,StreamingBundle,gender_male,Partner_yes,Dependents_yes,PhoneService_yes,MultipleLines_no phone service,MultipleLines_yes,InternetService_fiber optic,InternetService_no,OnlineSecurity_no internet service,OnlineSecurity_yes,OnlineBackup_no internet service,OnlineBackup_yes,DeviceProtection_no internet service,DeviceProtection_yes,TechSupport_no internet service,TechSupport_yes,StreamingTV_no internet service,StreamingTV_yes,StreamingMovies_no internet service,StreamingMovies_yes,Contract_one year,Contract_two year,PaperlessBilling_yes,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check,TenureBand_13-24,TenureBand_25-48,TenureBand_49+,TenureBand_7-12
7590-vhveg,-1.2666073225576369,-1.055551831547552,-0.9635070107399085,no,,0.0,1,0,0,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
5575-gnvde,0.07340975697196568,-0.1615598859072356,-0.13003251806298108,no,,0.0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3668-qpybk,-1.2260007443900731,-0.26382464721664456,-0.9284138196681457,yes,,0.0,1,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
7795-cfocw,0.5200821168151665,-0.6448433546758939,-0.1518817270635996,no,,0.0,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
9237-hqitu,-1.2260007443900731,0.2920338134490135,-0.9089176024060555,yes,,0.0,1,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
9305-cdskc,-0.9823612753846909,1.2470547295481709,-0.6091464549175695,yes,,0.0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
1452-kiovk,-0.4138691810387989,0.8990246547693757,-0.10318600279863131,no,,0.0,0,0,0,0,0,0,0,0,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False
6713-okomc,-0.9011481190495634,-1.0588506948155976,-0.8415772197938928,no,,0.0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
7892-pookp,-0.17022971203341658,1.4169461878525111,0.38832035721220537,yes,,0.0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False
6388-tabgu,1.2103939456637496,-0.1879507920515993,0.5863750332608887,no,,0.0,0,0,0,0,0,0,0,0,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
